ID: 1    | Turno: 1    | Movimiento: F5
ID: 2    | Turno: 2    | Movimiento: NT
ID: 3    | Turno: 3    | Movimiento: B4
ID: 4    | Turno: 4    | Movimiento: F2
ID: 5    | Turno: 5    | Movimiento: F4
ID: 6    | Turno: 6    | Movimiento: F4
ID: 7    | Turno: 7    | Movimiento: F3
ID: 8    | Turno: 8    | Movimiento: F2
ID: 9    | Turno: 9    | Movimiento: NT
ID: 10   | Turno: 10   | Movimiento: F3
ID: 11   | Turno: 11   | Movimiento: F1
ID: 12   | Turno: 12   | Movimiento: NT
ID: 13   | Turno: 13   | Movimiento: F3
ID: 14   | Turno: 14   | Movimiento: F1
